id,date,time,continent_code,country_name,country_code,state/province,population,city/town,distance,location_description,latitude,longitude,geolocation,hazard_type,landslide_type,landslide_size,trigger,storm_name,injuries,fatalities,source_name,source_link,,,
2930,01-02-2011,,,United States,US,Ohio,3454,Mingo Junction,2.81727,,40.2975,-80.6196,"(40.297499999999999, -80.619600000000005)",Landslide,Mudslide,Small,Freeze thaw,,,0,,http://www.wtov9.com/news/26345688/detail.html,02-01-2011,2011,1
2948,01-09-2011,,SA,Peru,PE,Ancash,0,Yanac,3.70678,,-8.6252,-77.8341,"(-8.6251999999999995, -77.834100000000007)",Landslide,Mudslide,Medium,Downpour,,,0,,http://www.laht.com/article.asp?ArticleId=383476&CategoryId=14095,09-01-2011,2011,1
2962,01-11-2011,23:30:00,,Costa Rica,CR,Limón,19092,Guápiles,17.23264,,10.166,-83.9356,"(10.166, -83.935599999999994)",Landslide,Landslide,Medium,Downpour,,,0,,http://insidecostarica.com/dailynews/2011/january/12/costarica11011209.htm,11-01-2011,2011,1
3015,1/16/11,,,United States,US,Idaho,485,Idaho City,34.46887,,44.0967,-116.0504,"(44.096699999999998, -116.0504)",Landslide,Mudslide,Medium,Downpour,,,0,,http://www.kboi2.com/news/local/113880644.html,16-01-2011,2011,1
3018,1/16/11,,,United States,US,Idaho,145987,Boise,14.32586,,43.6361,-116.0287,"(43.636099999999999, -116.0287)",Landslide,Mudslide,Medium,Downpour,,,0,,http://www.kboi2.com/news/local/113880644.html,16-01-2011,2011,1
3021,1/16/11,,,United States,US,Idaho,145987,Boise,14.99911,,43.6626,-116.0303,"(43.662599999999998, -116.0303)",Landslide,Mudslide,Medium,Downpour,,,0,,http://www.ktvb.com/news/Boise-County-Ccleans-up-after-heavy-rains-113991424.html,16-01-2011,2011,1
3043,1/18/11,15:00:00,,United States,US,Idaho,485,Idaho City,38.27504,,44.1126,-116.1043,"(44.1126, -116.10429999999999)",Landslide,Complex,Medium,Freeze thaw,,,0,,http://www.fox12idaho.com/Global/story.asp?S=13866377,18-01-2011,2011,1
3076,1/30/11,Morning,,United States,US,West Virginia,1554,Chesapeake,6.15192,,38.1721,-81.5627,"(38.1721, -81.562700000000007)",Landslide,Mudslide,Medium,Downpour,,,0,,http://www.dailymail.com/News/Kanawha/201101300779,30-01-2011,2011,1
3090,02-05-2011,,,United States,US,North Carolina,1150,Maggie Valley,1.20337,Above road,35.5288,-83.1002,"(35.528799999999997, -83.100200000000001)",Landslide,Mudslide,Medium,Rain,,,0,Citizen-Times,http://www.citizen-times.com/article/20100410/NEWS/100903081/0/OUTDOORS/Landslides-surge-WNC?odyssey=nav%7Chead,05-02-2011,2011,2
3119,2/14/11,,SA,Ecuador,EC,Pichincha,25742,Machachi,25.82923,,-0.6273,-78.3664,"(-0.62729999999999997, -78.366399999999999)",Landslide,Mudslide,Medium,Downpour,,,0,,http://www.theweathernetwork.com/news/storm_watch_stories3&stormfile=mudslide_in_ecuador_destroys_150211,14-02-2011,2011,2
3120,2/14/11,,SA,Ecuador,EC,Cotopaxi,3778,Saquisilí,30.81169,,-0.6549,-78.874,"(-0.65490000000000004, -78.873999999999995)",Landslide,Mudslide,Medium,Downpour,,,2,,http://www.theweathernetwork.com/news/storm_watch_stories3&stormfile=mudslide_in_ecuador_destroys_150211,14-02-2011,2011,2
3130,2/16/11,,,Jamaica,JM,Saint Mary,2046,Richmond,3.7758,,18.2724,-76.9104,"(18.272400000000001, -76.910399999999996)",Landslide,Landslide,Medium,Downpour,,,0,,http://go-jamaica.com/news/read_article.php?id=26536,16-02-2011,2011,2
3131,2/16/11,,,Jamaica,JM,Portland,2757,Buff Bay,7.52317,,18.1689,-76.6852,"(18.168900000000001, -76.685199999999995)",Landslide,Landslide,Medium,Downpour,,,0,,http://jamaica-gleaner.com/gleaner/20110219/lead/lead6.html,16-02-2011,2011,2
3135,2/18/11,,,United States,US,California,1423,Descanso,9.82301,,32.9112,-116.5369,"(32.911200000000001, -116.5369)",Landslide,Complex,Medium,Downpour,,,0,,http://eastcountymagazine.org/node/5520,18-02-2011,2011,2
3167,03-02-2011,Night,,Panama,PA,Los Santos,1283,La Palma,13.40535,,7.5955,-80.38,"(7.5955000000000004, -80.38)",Landslide,Landslide,Medium,Downpour,,,0,,http://www.newsroompanama.com/panama/2434-off-season-rain-creating-crop-worries-and-landslides.html,02-03-2011,2011,3
3168,03-02-2011,Night,,Panama,PA,Bocas del Toro,8114,Almirante,8.41491,,9.3224,-82.4732,"(9.3224, -82.473200000000006)",Landslide,Landslide,Medium,Downpour,,,0,,http://www.newsroompanama.com/panama/2434-off-season-rain-creating-crop-worries-and-landslides.html,02-03-2011,2011,3
3169,03-02-2011,,,United States,US,Pennsylvania,1873,Glen Lyon,8.31157,Above road,41.1204,-76.1398,"(41.120399999999997, -76.139799999999994)",Landslide,Mudslide,Medium,Rain,,,0,WNEP,"http://www.wnep.com/news/countybycounty/wnep-luz-mudslide-route-11-salem-township,0,7209375.story",02-03-2011,2011,3
3170,03-03-2011,Afternoon,SA,Colombia,CO,Santander,1669,Matanza,6.16385,,7.35,-72.9667,"(7.35, -72.966700000000003)",Landslide,Mudslide,Medium,Downpour,,,3,,http://colombiareports.com/colombia-news/news/14728-deadly-mudslide-triggers-mass-evacuation-order.html,03-03-2011,2011,3
3175,03-06-2011,,,United States,US,North Carolina,1241,Blowing Rock,13.11943,,36.0378,-81.5949,"(36.037799999999997, -81.594899999999996)",Landslide,Mudslide,Medium,Downpour,,,0,,http://www2.hickoryrecord.com/news/2011/mar/10/us-321-mudslide-repairs-may-cost-tens-thousands-do-ar-852188/,06-03-2011,2011,3
3176,03-06-2011,,,United States,US,Connecticut,9549,Bethel,2.63291,,41.3484,-73.4226,"(41.348399999999998, -73.422600000000003)",Landslide,Mudslide,Medium,Downpour,,,0,,http://www.ctpost.com/news/article/Metro-North-service-derailed-on-first-day-back-on-1045889.php,06-03-2011,2011,3
